name;desc;lat;lon
109.0;7.2;59.788172990;8.342688689
110.0;10.0;59.788191682;8.342103884
111.0;15.9;59.788229903;8.341425955
112.0;12.0;59.788173325;8.340030704
113.0;12.0;59.788170476;8.339523263
114.0;7.3;59.788095541;8.338623298
115.0;10.0;59.788259575;8.337804135
116.0;9.8;59.788178355;8.337567262
117.0;6.0;59.788150107;8.336877935
121.0;8.0;59.788663164;8.338213842
122.0;1.4;59.789089970;8.339655278
123.0;2.6;59.788888805;8.339617895
124.0;14.3;59.788418328;8.339689979
125.0;12.8;59.787894292;8.340018969
126.0;3.9;59.787608134;8.339523850
127.0;6.3;59.787286688;8.338817758
128.0;8.9;59.787020478;8.338785740
129.0;6.8;59.787185602;8.338664202
130.0;3.5;59.787553567;8.338839049
131.0;5.7;59.787449464;8.339498956
132.0;9.7;59.787290124;8.339732811
133.0;14.6;59.786838423;8.339594426
134.0;10.7;59.786586296;8.339169798
135.0;9.2;59.786413712;8.338830667
136.0;7.5;59.786109449;8.338563787
137.0;6.9;59.786375239;8.338587089
138.0;5.1;59.786615213;8.338335380
139.0;1.1;59.786355458;8.340525236
140.0;1.3;59.786327630;8.340358101
141.0;4.4;59.786591828;8.340987917
142.0;6.1;59.786857869;8.340888675
143.0;6.1;59.786879327;8.340959167
144.0;5.9;59.787006229;8.341013566
145.0;8.1;59.787505539;8.341280445
146.0;13.7;59.787782896;8.340208819
147.0;9.2;59.788004849;8.339247080
148.0;5.7;59.788356051;8.337060409
149.0;9.0;59.788354710;8.337820228
150.0;9.5;59.788416401;8.338485500
151.0;15.2;59.788156729;8.341282960
152.0;4.0;59.787824890;8.342111176
153.0;5.4;59.788707420;8.342763623
154.0;2.7;59.788949490;8.342932938
155.0;5.2;59.786580428;8.338340409
156.0;4.3;59.786617476;8.338265810
157.0;3.0;59.786638683;8.338173274
158.0;8.2;59.787247293;8.338906355
159.0;4.7;59.787487267;8.339066282
160.0;2.3;59.785981541;8.339645220
163.0;5.7;59.789029034;8.338800995
164.0;9.4;59.788146000;8.337872699
165.0;3.9;59.787897561;8.335900605
166.0;1.1;59.788037203;8.334451122
167.0;2.4;59.787976351;8.335048333
168.0;3.7;59.787947433;8.335627019
169.0;3.4;59.787960174;8.336176118
170.0;7.5;59.788122447;8.336941050
171.0;8.3;59.788081963;8.337688046
172.0;1.7;59.787868056;8.337718388
173.0;1.6;59.787756158;8.337594084
174.0;1.8;59.787676698;8.337721322
175.0;6.6;59.787975848;8.338189367
176.0;9.7;59.788200734;8.338490948
177.0;2.2;59.787598327;8.339268370
178.0;6.7;59.787361873;8.339379011
179.0;13.9;59.786657710;8.339534411
180.0;10.1;59.786361158;8.339276500
181.0;7.0;59.786133673;8.339185556
182.0;2.6;59.785815664;8.338757074
183.0;2.3;59.785780879;8.338512909
184.0;0.8;59.785686918;8.338083671
185.0;0.8;59.785613911;8.338668225
186.0;2.0;59.785878444;8.339447575
187.0;2.7;59.786055973;8.339896426
188.0;2.9;59.786176085;8.340378553
189.0;3.0;59.786333330;8.340762528
190.0;4.7;59.786610687;8.340895213
191.0;5.3;59.786970019;8.341173828
192.0;6.1;59.787334129;8.341510864
193.0;6.3;59.787641577;8.341560150
194.0;9.4;59.788137032;8.342180913
195.0;7.2;59.788246751;8.342617024
196.0;6.8;59.788430231;8.342668824
197.0;10.3;59.788437858;8.342415271
198.0;16.7;59.788411539;8.341756118
199.0;17.7;59.788378095;8.341301819
200.0;19.5;59.788370216;8.340912480
201.0;18.7;59.788373318;8.340391545
202.0;15.0;59.788295366;8.340035733
203.0;11.2;59.788181623;8.339256635
